-46.6827376008713,-23.450482046974,"R. Firminópolis, 171",R Araripira/ R Piapara,Ref.: R Araripira/ R Piapara
-46.7018123117772,-23.5136280361658,Jose Maria B/C,"Av. Ermano Marchetti, 1051 Ref.: R Belchior Carneiro/ Pc Sebastiao Jayme Pinto","Av. Ermano Marchetti, 1051 Ref.: R Belchior Carneiro/ Pc Sebastiao Jayme Pinto"
-46.6146434492401,-23.5809187203,"R. Cel. Diogo, 1430",R Rocha Galvao/ R Doutor Clemente Jobim,Ref.: R Rocha Galvao/ R Doutor Clemente Jobim
-46.6300564998455,-23.5465777991175,Terminal Parque Dom Pedro II - Plat 01,Term. Parque Dom Pedro II - Plat 01 Ref.: Plataforma 01 - (pmv - 06).,Term. Parque Dom Pedro II - Plat 01 Ref.: Plataforma 01 - (pmv - 06).
-46.6755664549181,-23.503340972349,"Av. Nsa. Sra. Do Ó, 349",R Eulalio Da Costa Carvalho/ R Mateus Mascarenhas,Ref.: R Eulalio Da Costa Carvalho/ R Mateus Mascarenhas
-46.6595879444826,-23.675776752387,Av. Yervant Kissajikian,R Estanislau Moniusko/ R Bemaventuranca,Ref.: R Estanislau Moniusko/ R Bemaventuranca
-46.6542403564305,-23.5594378545986,Getulio Vargas C/B 1,"Av. Nove De Julho, 2130 Ref.: R Dona Adma Jafet/ Vdto Professor Bernardino Tranchesi","Av. Nove De Julho, 2130 Ref.: R Dona Adma Jafet/ Vdto Professor Bernardino Tranchesi"
-46.6447039780173,-23.6841967015237,"R. Giuseppe Boschi, 49",Travessa Bauru,Ref.: Travessa Bauru
-46.7519469298876,-23.5658291254559,"Av. Do Rio Pequeno, 713",Av Otacilio Tomanik/ R Dr. Sergio Ruiz De Albuquerque,Ref.: Av Otacilio Tomanik/ R Dr. Sergio Ruiz De Albuquerque
-46.5805436672111,-23.5581476468077,"R. Do Acre, 496",R Natal/ R Piracununga,Ref.: R Natal/ R Piracununga
-46.7174919417306,-23.9012126973175,"Estr. Eng. Marsilac, 12000",Est Ponte Seca/ Est Da Lagoa,Ref.: Est Ponte Seca/ Est Da Lagoa
-46.7188708276042,-23.637318959729,R. Luiz Seraphico Junior,R Braganca Paulista/ R Carmo Do Rio Verde,Ref.: R Braganca Paulista/ R Carmo Do Rio Verde
-46.6655297163768,-23.7362047092029,"Estr. Canal Da Cocaia, 2601",R Claudio Artaria/ Av Gaivotas,Ref.: R Claudio Artaria/ Av Gaivotas
-46.7729565714575,-23.6468961042107,"R. José Ramos Fernandes, 627",R Moacyr Machado Castanho/ R Odemis,Ref.: R Moacyr Machado Castanho/ R Odemis
-46.6773460861711,-23.6115648674234,Portugal B/C 1,"Av. Sto. Amaro, 3159 Ref.: R Demostenes/ R Luisiania","Av. Sto. Amaro, 3159 Ref.: R Demostenes/ R Luisiania"
-46.7427924780183,-23.4124642557413,R. Ernesto Bottoni,R Polifontes/ R Sem Nome,Ref.: R Polifontes/ R Sem Nome
-46.6897122643275,-23.5429159720421,"Av. Pompeia, 2287",Pc Nossa Senhora Do Carmo/ R Cuxipones,Ref.: Pc Nossa Senhora Do Carmo/ R Cuxipones
-46.6087067875842,-23.4868478000915,"Av. Luís Dumont Vilares, 1721",R Inglesa/ R Tome Portes,Ref.: R Inglesa/ R Tome Portes
-46.5810265120409,-23.6039666012848,"Av. Pres. Wilson, 6747",Rua Alcatis,Ref.: Rua Alcatis
-46.6897363014239,-23.5317639834598,"R. Tavares Bastos, 834",R Raul Pompeia/ R Doutor Augusto De Miranda,Ref.: R Raul Pompeia/ R Doutor Augusto De Miranda
-46.6115427917794,-23.4820388130905,R. Dr. Natalino Righeto,R Paulo Maldi/ R Pe. Lourenco Craveiro,Ref.: R Paulo Maldi/ R Pe. Lourenco Craveiro
-46.4742590812312,-23.5669113361948,"Av. Maria Luiza Americano, 1741",R Morubixaba/ Vel Quatorze,Ref.: R Morubixaba/ Vel Quatorze
